Question	Answer
What are your hours of operation?	Contoso Dentistry is open Monday through Friday from 8:00 AM to 6:00 PM, and Saturday from 9:00 AM to 2:00 PM. We are closed on Sundays and major public holidays.
When are you open?	We are open Monday to Friday 8 AM – 6 PM and Saturday 9 AM – 2 PM. Closed Sundays and major holidays.
Where are you located?	Contoso Dentistry is located at 123 Smile Street, Suite 400, Redmond, WA 98052. We're on the 4th floor, right above the coffee shop, with free parking available in the underground garage.
What is your address?	Our clinic is at 123 Smile Street, Suite 400, Redmond, WA 98052.
How do I contact you?	You can reach us by phone at (425) 555-0142, by email at hello@contosodentistry.com, or by using the chat on this website. For emergencies outside of business hours, please call our on-call line at (425) 555-0199.
Do you accept new patients?	Yes! We are always welcoming new patients. You can book a first-visit consultation right here in the chat, or call us at (425) 555-0142.
What insurance plans do you accept?	We accept most major dental insurance plans including Delta Dental, Cigna, Aetna, MetLife, Guardian, United Concordia, and Blue Cross Blue Shield. If you don't see your provider listed, please call us — we may still be in-network.
I don't have insurance. Can I still be seen?	Absolutely! We welcome patients without insurance and offer transparent, up-front pricing. We also offer flexible payment plans and CareCredit financing so cost is never a barrier to great dental care. Give us a call at (425) 555-0142 for details.
Do you take Delta Dental?	Yes, we are an in-network provider for Delta Dental PPO and Premier plans.
Do you take Cigna?	Yes, Cigna PPO and DPPO plans are accepted.
Do you offer payment plans?	Yes, we offer flexible payment plans and CareCredit financing for larger treatments. Ask at the front desk or during your visit and we'll help you find an option that works for you.
What services do you offer?	We offer a full range of dental services including routine cleanings and check-ups, fillings, crowns and bridges, root canals, teeth whitening, veneers, dental implants, orthodontics (including Invisalign), pediatric dentistry, and emergency dental care.
Do you do teeth whitening?	Yes, we offer both in-office professional whitening (about a 1-hour visit) and take-home whitening kits customized to your teeth.
Do you offer Invisalign?	Yes, we are certified Invisalign providers and offer a free Invisalign consultation for new patients.
Do you treat children?	Absolutely. Our pediatric dental team is trained to make kids' visits fun and stress-free. We recommend a first visit by your child's first birthday.
Do you handle dental emergencies?	Yes. We reserve same-day emergency slots every weekday for urgent problems like severe toothache, broken teeth, or lost fillings. Call (425) 555-0142 for same-day availability or (425) 555-0199 after hours.
I have a toothache, what should I do?	Sorry to hear that! Rinse with warm salt water, avoid very hot or cold foods, and take an over-the-counter pain reliever if it's safe for you. Please call us at (425) 555-0142 so we can get you seen as soon as possible.
How often should I get a cleaning?	Most patients benefit from a professional cleaning and exam every 6 months. If you're prone to gum disease or have other risk factors, we may recommend every 3–4 months.
How often should I visit the dentist?	Twice a year is the standard recommendation, but we'll tailor a schedule to your specific needs at your first visit.
How do I schedule an appointment?	Easy! Just tell me a time that works for you — for example say "schedule me for tomorrow at 3pm". I can also check availability if you say "what times are open?"
Can I book online?	Yes, you can book right here in the chat. Say something like "I'd like an appointment on Friday at 10am" and I'll take care of it.
How do I cancel or reschedule?	Please call us at (425) 555-0142 at least 24 hours in advance so we can offer your slot to another patient. You can also email hello@contosodentistry.com.
Who is on your team?	Our team includes Dr. Priya Shah (DDS, general dentistry & cosmetic), Dr. Marcus Lee (DMD, orthodontics & Invisalign), Dr. Anaya Patel (DDS, pediatric dentistry), and a team of experienced hygienists led by Sam Rivera, RDH.
Who is Dr. Priya Shah?	Dr. Priya Shah is our lead general and cosmetic dentist. She earned her DDS from the University of Washington and has been practicing for over 12 years, with a special interest in veneers and full-mouth restorations.
Who is Dr. Marcus Lee?	Dr. Marcus Lee is our orthodontist and a certified Invisalign Diamond provider. He completed his DMD and orthodontics residency at Harvard School of Dental Medicine.
Do you offer sedation dentistry?	Yes, we offer nitrous oxide ("laughing gas") and oral sedation for anxious patients. IV sedation is available for more complex procedures — just let us know when booking.
Is parking available?	Yes, free parking is available in the underground garage below the building. There is also a large surface lot to the north of the building with 2-hour free parking.
Are you wheelchair accessible?	Yes, our office is fully wheelchair accessible with elevator access from the ground floor and accessible restrooms.
Do you speak languages other than English?	Yes! Our team collectively speaks English, Spanish, Hindi, Gujarati, and Mandarin. Let us know your preference when booking.
What should I bring to my first visit?	Please bring a photo ID, your insurance card, a list of any medications you're taking, and any recent dental x-rays if you have them. Arrive 15 minutes early to fill out new-patient paperwork, or complete it in advance from our website.
How much does a cleaning cost?	A standard cleaning and exam is typically $150–$200 without insurance. With most PPO plans, preventive cleanings are covered at 100%. We'll always give you a clear cost estimate before any treatment.
